Campaign,Ad group,Status,Ad type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Description 1,Description 2
GH_Search_Engines_HighIntent,Corolla 2009-2013 Engine,Paused,Responsive search ad,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=corolla_2009_2013_engine&utm_term=%7Bkeyword%7D,Used Engines For Ghana,Corolla / Camry Engines,"China Stock, Ghana Pickup",Send Model And Year,Engines With Gearbox,Real Inventory Photos,Ship To Ghana,"Browse real China stock. Send your car model, year and destination in Ghana. We check matching stock before quote.","Used engines, gearboxes and half-cuts from China. We handle sourcing, shipping and customs clearance."
GH_Search_Engines_HighIntent,Camry Engine,Paused,Responsive search ad,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=camry_engine&utm_term=%7Bkeyword%7D,Used Engines For Ghana,Corolla / Camry Engines,"China Stock, Ghana Pickup",Send Model And Year,Engines With Gearbox,Real Inventory Photos,Ship To Ghana,"Browse real China stock. Send your car model, year and destination in Ghana. We check matching stock before quote.","Used engines, gearboxes and half-cuts from China. We handle sourcing, shipping and customs clearance."
GH_Search_Engines_HighIntent,Vitz Yaris Engine,Paused,Responsive search ad,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=vitz_yaris_engine&utm_term=%7Bkeyword%7D,Used Engines For Ghana,Corolla / Camry Engines,"China Stock, Ghana Pickup",Send Model And Year,Engines With Gearbox,Real Inventory Photos,Ship To Ghana,"Browse real China stock. Send your car model, year and destination in Ghana. We check matching stock before quote.","Used engines, gearboxes and half-cuts from China. We handle sourcing, shipping and customs clearance."
GH_Search_Engines_HighIntent,Hyundai Kia SUV Engine,Paused,Responsive search ad,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=hyundai_kia_suv_engine&utm_term=%7Bkeyword%7D,Used Engines For Ghana,Corolla / Camry Engines,"China Stock, Ghana Pickup",Send Model And Year,Engines With Gearbox,Real Inventory Photos,Ship To Ghana,"Browse real China stock. Send your car model, year and destination in Ghana. We check matching stock before quote.","Used engines, gearboxes and half-cuts from China. We handle sourcing, shipping and customs clearance."
GH_Search_Engines_HighIntent,Hyundai Kia Sedan Engine,Paused,Responsive search ad,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=hyundai_kia_sedan_engine&utm_term=%7Bkeyword%7D,Used Engines For Ghana,Corolla / Camry Engines,"China Stock, Ghana Pickup",Send Model And Year,Engines With Gearbox,Real Inventory Photos,Ship To Ghana,"Browse real China stock. Send your car model, year and destination in Ghana. We check matching stock before quote.","Used engines, gearboxes and half-cuts from China. We handle sourcing, shipping and customs clearance."
GH_Search_Engines_HighIntent,Nissan Engine,Paused,Responsive search ad,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=nissan_engine&utm_term=%7Bkeyword%7D,Used Engines For Ghana,Corolla / Camry Engines,"China Stock, Ghana Pickup",Send Model And Year,Engines With Gearbox,Real Inventory Photos,Ship To Ghana,"Browse real China stock. Send your car model, year and destination in Ghana. We check matching stock before quote.","Used engines, gearboxes and half-cuts from China. We handle sourcing, shipping and customs clearance."
GH_Search_Engines_HighIntent,Honda Engine,Paused,Responsive search ad,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=honda_engine&utm_term=%7Bkeyword%7D,Used Engines For Ghana,Corolla / Camry Engines,"China Stock, Ghana Pickup",Send Model And Year,Engines With Gearbox,Real Inventory Photos,Ship To Ghana,"Browse real China stock. Send your car model, year and destination in Ghana. We check matching stock before quote.","Used engines, gearboxes and half-cuts from China. We handle sourcing, shipping and customs clearance."
GH_Search_Gearboxes_HighIntent,Corolla Gearbox,Paused,Responsive search ad,https://asia-power.com/gearboxes/?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_gearboxes_highintent&utm_content=corolla_gearbox&utm_term=%7Bkeyword%7D,Gearboxes For Ghana,Corolla Gearbox Ghana,Camry Gearbox Ghana,"China Stock, Ghana Pickup",Send Model And Year,AT MT CVT Gearboxes,AsiaPower Ghana,"Find used gearboxes from China stock. Send vehicle model, year and gearbox type for matching.","We help Ghana buyers source, ship and clear used gearboxes and engine sets from China."
GH_Search_Gearboxes_HighIntent,Camry Gearbox,Paused,Responsive search ad,https://asia-power.com/gearboxes/?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_gearboxes_highintent&utm_content=camry_gearbox&utm_term=%7Bkeyword%7D,Gearboxes For Ghana,Corolla Gearbox Ghana,Camry Gearbox Ghana,"China Stock, Ghana Pickup",Send Model And Year,AT MT CVT Gearboxes,AsiaPower Ghana,"Find used gearboxes from China stock. Send vehicle model, year and gearbox type for matching.","We help Ghana buyers source, ship and clear used gearboxes and engine sets from China."
GH_Search_Gearboxes_HighIntent,Hyundai Kia Gearbox,Paused,Responsive search ad,https://asia-power.com/gearboxes/?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_gearboxes_highintent&utm_content=hyundai_kia_gearbox&utm_term=%7Bkeyword%7D,Gearboxes For Ghana,Corolla Gearbox Ghana,Camry Gearbox Ghana,"China Stock, Ghana Pickup",Send Model And Year,AT MT CVT Gearboxes,AsiaPower Ghana,"Find used gearboxes from China stock. Send vehicle model, year and gearbox type for matching.","We help Ghana buyers source, ship and clear used gearboxes and engine sets from China."
GH_Search_HalfCuts_Import,Half Cut Ghana,Paused,Responsive search ad,https://asia-power.com/half-cuts/?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_halfcuts_import&utm_content=half_cut_ghana&utm_term=%7Bkeyword%7D,Half Cut Cars For Ghana,Front Cuts From China,Real Donor Car Photos,Engines Gearboxes Half Cuts,Ship To Ghana,AsiaPower Ghana,Pick Parts From Stock,Browse half-cut and donor-car stock photos before quote. Choose the part and we arrange removal and shipping.,"Engines, gearboxes and half-cuts from China inventory. Support for Ghana buyers and Accra pickup coordination."
GH_Search_Import_FromChina,China To Ghana Auto Parts,Paused,Responsive search ad,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_import_fromchina&utm_content=china_to_ghana_auto_parts&utm_term=%7Bkeyword%7D,Auto Parts China To Ghana,Used Engines From China,Car Parts For Ghana,We Handle Shipping,China Stock Ghana Pickup,Send Your Request,AsiaPower Ghana,"Tell us the part you need. We source from China stock, arrange shipping, customs support and Ghana pickup.","Engines, gearboxes and half-cuts for Ghana workshops and importers. Send model, year and destination."
